Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,12522.47,2940.67,0
1,400.0,7394.19,6699.97,0
2,600.0,5146.01,3726.02,0
4,1000.0,2830.8,7461.35,0
5,1200.0,3836.67,4840.45,0
6,1400.0,5114.41,721.05,0
8,1800.0,6199.11,4204.08,0
9,2000.0,6023.14,3541.41,0
10,2200.0,1290.05,8220.24,0
12,2600.0,650.42,7070.88,0
13,2800.0,1963.88,4473.49,0
14,3000.0,2688.38,2202.18,0
17,3600.0,4562.39,12893.14,0
18,3800.0,5848.01,7821.14,0
20,4200.0,2029.7,5905.51,0
21,4400.0,2449.05,1410.6,0
22,4600.0,2970.48,3352.95,0
25,5200.0,5615.49,9778.66,0
26,5400.0,5318.46,10476.39,0
27,5600.0,3229.65,3855.93,0
28,5800.0,1534.54,5577.54,0
29,6000.0,1831.35,3115.26,0
32,6600.0,4930.62,7157.47,0
33,6800.0,7135.79,4155.8,0
35,7200.0,6024.3,2782.46,0
36,7400.0,1825.43,4023.48,0
37,7600.0,4997.3,12278.03,0
39,8000.0,3075.0,4480.39,0
40,8200.0,7284.03,6662.3,0
41,8400.0,2040.04,9129.6,0
43,8800.0,10535.58,10226.05,0
45,9200.0,5713.52,5964.35,0
46,9400.0,4885.08,3124.33,0
47,9600.0,6542.53,10650.22,0
49,10000.0,5929.52,7016.75,0
50,10200.0,6873.31,5495.81,0
52,10600.0,6475.0,6942.91,0
54,11000.0,5468.98,9813.77,0
56,11400.0,4417.54,9969.73,0
58,11800.0,7640.48,20894.77,0
60,12200.0,7018.12,5605.42,0
62,12600.0,2925.43,16448.99,0
64,13000.0,5196.75,6903.69,0
66,13400.0,8343.05,6348.43,0
68,13800.0,1812.01,2962.64,0
70,14200.0,2756.77,9541.18,0
72,14600.0,12983.23,2831.73,0
74,15000.0,6212.85,4996.0,0
76,15400.0,6210.54,10029.37,0
78,15800.0,6096.99,1674.36,1
80,16200.0,13892.82,18746.75,1
82,16600.0,31328.21,32115.56,1
85,17200.0,19319.6,1418.4,1
86,17400.0,19597.56,984.67,1
88,17800.0,19040.14,9093.68,1
90,18200.0,21791.64,3382.41,1
92,18600.0,21786.6,910.66,1
94,19000.0,22559.25,2057.56,1
96,19400.0,22476.52,3129.42,1
98,19800.0,21801.59,2366.59,1
100,20200.0,26584.68,9229.07,1
102,20600.0,25807.53,2541.63,0
104,21000.0,22273.82,3728.05,0
106,21400.0,18172.59,2923.32,0
108,21800.0,16698.81,6392.2,0
110,22200.0,16892.05,2093.1,0
112,22600.0,16836.42,692.88,0
114,23000.0,15560.67,950.84,0
116,23400.0,16211.58,672.95,0
118,23800.0,16055.1,673.32,0
120,24200.0,16330.88,762.64,0
122,24600.0,15979.43,656.75,0
124,25000.0,16312.19,763.26,0
126,25400.0,16170.67,787.9,0
128,25800.0,15853.61,690.2,0
130,26200.0,16323.65,736.29,0
132,26600.0,16545.71,648.16,0
134,27000.0,15952.95,845.08,0
136,27400.0,16127.39,709.21,0
138,27800.0,16456.39,684.63,0
