Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,8257.31,6678.44,0,-432.56,0.0,21.0,0.0
2,300.0,7996.17,4537.41,0,0.0,0.0,31.99,0.0
4,500.0,6940.19,2976.27,0,-0.06,0.0,35.16,0.0
6,700.0,7307.97,2747.55,0,0.15,0.0,33.46,0.0
9,1000.0,7156.24,3114.57,0,0.41,0.0,37.85,0.0
11,1200.0,8499.99,3313.89,0,0.22,0.0,30.53,0.0
13,1400.0,9228.12,3266.65,0,0.0,0.0,35.16,0.0
15,1600.0,8688.11,9043.61,0,0.0,0.0,35.16,0.0
17,1800.0,6788.3,4049.37,0,0.0,0.0,34.92,0.0
20,2100.0,6419.69,4462.94,0,0.39,0.0,31.5,0.0
22,2300.0,6788.82,5028.21,0,-0.27,0.0,31.26,0.0
24,2500.0,7335.73,4284.25,0,0.0,0.0,30.77,0.0
26,2700.0,7070.4,5639.07,0,0.0,0.0,35.65,0.0
28,2900.0,6846.83,7052.42,0,0.2,0.0,30.28,0.0
30,3100.0,10541.91,11494.41,0,0.06,0.0,34.43,0.0
32,3300.0,4982.24,8398.6,0,0.15,0.0,34.19,0.0
36,3700.0,9015.95,11342.45,0,-0.06,0.0,32.97,0.0
40,4100.0,9221.19,4942.35,0,0.11,0.0,32.23,0.0
42,4300.0,9805.62,3746.33,0,-0.13,0.0,31.26,0.0
44,4500.0,10993.51,5501.98,0,0.13,0.0,33.46,0.0
48,4900.0,5873.94,4655.47,0,0.22,0.0,31.99,0.0
50,5100.0,9867.83,8747.27,0,0.15,0.0,32.48,0.0
52,5300.0,8013.09,5099.85,0,0.22,0.0,31.75,0.0
54,5500.0,8189.19,8101.59,0,0.17,0.0,32.72,0.0
56,5700.0,6075.98,2164.93,0,-0.06,0.0,27.11,0.0
58,5900.0,6034.06,13130.17,0,0.15,0.0,40.29,0.0
60,6100.0,10348.13,7960.45,0,0.0,0.0,31.75,0.0
64,6500.0,11576.34,8619.58,0,-0.06,0.0,27.35,0.0
66,6700.0,6070.44,6744.14,0,-0.22,0.0,26.86,0.0
68,6900.0,14055.71,10942.91,0,0.0,0.0,39.8,0.0
70,7100.0,8708.54,7871.08,0,-0.13,0.0,32.72,0.0
72,7300.0,11498.17,7591.58,0,0.15,0.0,36.39,0.0
74,7500.0,2613.06,11933.56,0,-0.06,0.0,35.16,0.0
76,7700.0,6664.43,11793.28,0,-0.06,0.0,33.7,0.0
